stem,stem_nepali,slot,surface_form,gloss,verified
ja,जा,1SG.FUT,जानेछु,I will go,YES
ja,जा,2SG.FUT,जानेछस्,you will go (informal),YES
ja,जा,3SG.FUT,जानेछ,he/she will go,YES
ja,जा,1PL.FUT,जानेछौं,we will go,YES
ja,जा,3PL.FUT,जानेछन्,they will go,YES
ja,जा,2HON.FUT,जानुहुनेछ,you will go (honorific),YES
ja,जा,3HON.FUT,जानुहुनेछ,he/she will go (honorific),YES
aa,आ,1SG.PRES,आउँछु,I come,YES
aa,आ,2SG.PRES,आउँछस्,you come (informal),YES
aa,आ,2SG.PRES.MID,आउँछौ,you come (friendly),YES
aa,आ,3SG.PRES,आउँछ,he/she comes,YES
aa,आ,1PL.PRES,आउँछौं,we come,YES
aa,आ,2PL.PRES,आउँछौ,you all come,YES
aa,आ,3PL.PRES,आउँछन्,they come,YES
aa,आ,2HON.PRES,आउनुहुन्छ,you come (honorific),YES
aa,आ,3HON.PRES,आउनुहुन्छ,he/she comes (honorific),YES
aa,आ,1SG.PAST,आएँ,I came,YES
aa,आ,2SG.PAST,आयौ,you came (informal),YES
aa,आ,3SG.PAST,आयो,he/she came,YES
aa,आ,1PL.PAST,आयौं,we came,YES
aa,आ,2PL.PAST,आयौ,you all came,YES
aa,आ,3PL.PAST,आए,they came,YES
aa,आ,2HON.PAST,आउनुभयो,you came (honorific),YES
aa,आ,3HON.PAST,आउनुभयो,he/she came (honorific),YES
aa,आ,1SG.FUT,आउनेछु,I will come,YES
aa,आ,2SG.FUT,आउनेछस्,you will come (informal),YES
aa,आ,3SG.FUT,आउनेछ,he/she will come,YES
aa,आ,1PL.FUT,आउनेछौं,we will come,YES
aa,आ,3PL.FUT,आउनेछन्,they will come,YES
aa,आ,2HON.FUT,आउनुहुनेछ,you will come (honorific),YES
aa,आ,3HON.FUT,आउनुहुनेछ,he/she will come (honorific),YES
bol,बोल्,1SG.PRES,बोल्छु,I speak,YES
bol,बोल्,2SG.PRES,बोल्छस्,you speak (informal),YES
bol,बोल्,2SG.PRES.MID,बोल्छौ,you speak (friendly),YES
bol,बोल्,3SG.PRES,बोल्छ,he/she speaks,YES
bol,बोल्,1PL.PRES,बोल्छौं,we speak,YES
bol,बोल्,2PL.PRES,बोल्छौ,you all speak,YES
bol,बोल्,3PL.PRES,बोल्छन्,they speak,YES
bol,बोल्,2HON.PRES,बोल्नुहुन्छ,you speak (honorific),YES
bol,बोल्,3HON.PRES,बोल्नुहुन्छ,he/she speaks (honorific),YES
bol,बोल्,1SG.PAST,बोलें,I spoke,YES
bol,बोल्,2SG.PAST,बोल्यौ,you spoke (informal),YES
bol,बोल्,3SG.PAST,बोल्यो,he/she spoke,YES
bol,बोल्,1PL.PAST,बोल्यौं,we spoke,YES
bol,बोल्,2PL.PAST,बोल्यौ,you all spoke,YES
bol,बोल्,3PL.PAST,बोले,they spoke,YES
bol,बोल्,2HON.PAST,बोल्नुभयो,you spoke (honorific),YES
bol,बोल्,3HON.PAST,बोल्नुभयो,he/she spoke (honorific),YES
bol,बोल्,1SG.FUT,बोल्नेछु,I will speak,YES
bol,बोल्,2SG.FUT,बोल्नेछस्,you will speak (informal),YES
bol,बोल्,3SG.FUT,बोल्नेछ,he/she will speak,YES
bol,बोल्,1PL.FUT,बोल्नेछौं,we will speak,YES
bol,बोल्,3PL.FUT,बोल्नेछन्,they will speak,YES
bol,बोल्,2HON.FUT,बोल्नुहुनेछ,you will speak (honorific),YES
bol,बोल्,3HON.FUT,बोल्नुहुनेछ,he/she will speak (honorific),YES
ghar,घर,NOM,घर,house (subject),YES
ghar,घर,ACC,घरलाई,house (object),YES
ghar,घर,GEN,घरको,of the house,YES
ghar,घर,LOC,घरमा,in/at the house,YES
ghar,घर,ABL,घरबाट,from the house,YES
ghar,घर,INS,घरले,by the house,YES
manchhe,मान्छे,NOM,मान्छे,person (subject),YES
manchhe,मान्छे,ACC,मान्छेलाई,person (object),YES
manchhe,मान्छे,GEN,मान्छेको,of the person,YES
manchhe,मान्छे,LOC,मान्छेमा,in/at the person,YES
manchhe,मान्छे,ABL,मान्छेबाट,from the person,YES
manchhe,मान्छे,INS,मान्छेले,by the person,YES
kitab,किताब,NOM,किताब,book (subject),YES
kitab,किताब,ACC,किताबलाई,book (object),YES
kitab,किताब,GEN,किताबको,of the book,YES
kitab,किताब,LOC,किताबमा,in/at the book,YES
kitab,किताब,ABL,किताबबाट,from the book,YES
kitab,किताब,INS,किताबले,by the book,YES
gaun,गाउँ,NOM,गाउँ,village (subject),YES
gaun,गाउँ,ACC,गाउँलाई,village (object),YES
gaun,गाउँ,GEN,गाउँको,of the village,YES
gaun,गाउँ,LOC,गाउँमा,in/at the village,YES
gaun,गाउँ,ABL,गाउँबाट,from the village,YES
gaun,गाउँ,INS,गाउँले,by the village,YES
sahar,सहर,NOM,सहर,city (subject),YES
sahar,सहर,ACC,सहरलाई,city (object),YES
sahar,सहर,GEN,सहरको,of the city,YES
sahar,सहर,LOC,सहरमा,in/at the city,YES
sahar,सहर,ABL,सहरबाट,from the city,YES
sahar,सहर,INS,सहरले,by the city,YES
